quote,author
It is not so important to know everything as to appreciate what we learn.,Hannah More
Experience can only be gained by doing not by thinking or dreaming.,Byron Pulsifer
"Always tell the truth. That way, you don''t have to remember what you said.",Mark Twain
From wonder into wonder existence opens.,Lao Tzu
An ant on the move does more than a dozing ox,Lao Tzu
"To avoid criticism, do nothing, say nothing, be nothing.",Elbert Hubbard
Through perseverance many people win success out of what seemed destined to be certain failure.,Benjamin Disraeli
He who fears being conquered is sure of defeat.,Napoleon Bonaparte
Life is what happens while you are making other plans.,John Lennon
Those who are free of resentful thoughts surely find peace.,Buddha
Good luck is another name for tenacity of purpose.,Ralph Emerson
Doing what you love is the cornerstone of having abundance in your life.,Wayne Dyer
Nothing diminishes anxiety faster than action.,Walter Anderson
Be faithful in small things because it is in them that your strength lies.,Mother Teresa
Kindness is the golden chain by which society is bound together.,Johann Wolfgang von Goethe
You need chaos in your soul to give birth to a dancing star.,Nietzsche
"I have often regretted my speech, never my silence.",Publilius Syrus
It can't be spring if your heart is filled with past failures.,Byron Pulsifer
If you cannot be silent be brilliant and thoughtful.,Byron Pulsifer
"If you wish to be a writer, write.",Epictetus
No yesterdays are ever wasted for those who give themselves to today.,Brendan Francis
"The truth is always exciting. Speak it, then. Life is dull without it.",Pearl Buck
There are no failures � just experiences and your reactions to them.,Tom Krause
Action is the foundational key to all success.,Pablo Picasso
What is necessary to change a person is to change his awareness of himself.,Abraham Maslow
Silence is a fence around wisdom.,German proverb
"If you spend too much time thinking about a thing, you''ll never get it done.",Bruce Lee
Positive thinking will let you do everything better than negative thinking will.,Zig Ziglar
Think how hard physics would be if particles could think.,Murray Gell-Mann
We shall never know all the good that a simple smile can do.,Mother Teresa
Nature takes away any faculty that is not used.,William R. Inge
Nothing is so strong as gentleness. Nothing is so gentle as real strength.,Frances de Sales
Fears are nothing more than a state of mind.,Napoleon Hill
Imagination is not a talent of some men but is the health of every man.,Ralph Waldo Emerson
We must embrace pain and burn it as fuel for our journey.,Kenji Miyazawa
"It has never been my object to record my dreams, just to realize them.",Man Ray
"Practice yourself, for heavens sake in little things, and then proceed to greater.",Epictetus
Your outlook on life is a direct reflection on how much you like yourself.,Lululemon
"Better to have loved and lost, than to have never loved at all.",St. Augustine
From error to error one discovers the entire truth.,Sigmund Freud
I believe that every person is born with talent.,Maya Angelou
"Three things cannot be long hidden: the sun, the moon, and the truth.",Buddha
Well begun is half done.,Aristotle
"In separateness lies the world''s great misery, in compassion lies the world''s true strength.",Buddha
Do one thing every day that scares you.,Eleanor Roosevelt
"Whatever happens, take responsibility.",Tony Robbins
"A gem cannot be polished without friction, nor a man perfected without trials.",Chinese proverb
No is easier to do. Yes is easier to say.,Jason Fried
Nothing is so strong as gentleness. Nothing is so gentle as real strength.,Frances de Sales
Life is a process. We are a process. The universe is a process.,Anne Schaef
Don't wait. The time will never be just right.,Napoleon Hill
Be as you wish to seem.,Socrates
Knowing is not enough; we must apply!,Johann Wolfgang von Goethe
Science is organized knowledge. Wisdom is organized life.,Immanuel Kant
"The path to success is to take massive, determined action.",Tony Robbins
Freedom is not worth having if it does not connote freedom to err.,Mohandas Gandhi
Each day can be one of triumph if you keep up your interests.,George Matthew Adams
The place to improve the world is first in one's own heart and head and hands.,Robert M. Pirsig
The pessimist sees difficulty in every opportunity. The optimist sees the opportunity in every difficulty.,Winston Churchill
Winners have simply formed the habit of doing things losers don't like to do.,Albert Gray
Nature is a mutable cloud which is always and never the same.,Ralph Emerson
"Life is what you make of it. Always has been, always will be.",Grandma Moses
"If you do not change direction, you may end up where you are heading.",Lao Tzu
Worry often gives a small thing a big shadow.,Swedish proverb
"I want you to be everything that''s you, deep at the center of your being.",Confucius
"We know what we are, but know not what we may be.",William Shakespeare
Do not turn back when you are just at the goal.,Publilius Syrus
Freedom is what you do with what's been done to you.,Jean-Paul Sartre
"Life is so constructed that an event does not, cannot, will not, match the expectation.",Charlotte Bronte
"Pick battles big enough to matter, small enough to win.",Jonathan Kozol
The truth which has made us free will in the end make us glad also.,Felix Adler
The heart has its reasons which reason knows not of.,Blaise Pascal
"To succeed, we must first believe that we can.",Michael Korda
He who has imagination without learning has wings but no feet.,Joseph Joubert
"Never ignore a gut feeling, but never believe that it''s enough.",Robert Heller
Everything in life is luck.,Donald Trump
A goal without a plan is just a wish.,Larry Elder
Our lives are a sum total of the choices we have made.,Wayne Dyer
Watch the little things; a small leak will sink a great ship.,Benjamin Franklin
"When performance exceeds ambition, the overlap is called success.",Cullen Hightower
Work out your own salvation. Do not depend on others.,Buddha
"Whoso loves, believes the impossible.",Elizabeth Browning
Fate is in your hands and no one elses,Byron Pulsifer
"It isn''t where you come from, it''s where you''re going that counts.",Ella Fitzgerald
"Reality is merely an illusion, albeit a very persistent one.",Albert Einstein
Your worst enemy cannot harm you as much as your own unguarded thoughts.,Buddha
The greatest obstacle to connecting with our joy is resentment.,Pema Chodron
Freedom is what you do with what's been done to you.,Jean-Paul Sartre
Mountains cannot be surmounted except by winding paths.,Johann Wolfgang von Goethe
I believe that every person is born with talent.,Maya Angelou
When anger use your energy to do something productive.,C. Pulsifer
Growth itself contains the germ of happiness.,Pearl Buck
Victory belongs to the most persevering.,Napoleon Bonaparte
"We are all something, but none of us are everything.",Blaise Pascal
To want to be what one can be is purpose in life.,Cynthia Ozick
Intuition will tell the thinking mind where to look next.,Jonas Salk
Always be mindful of the kindness and not the faults of others.,Buddha
No yesterdays are ever wasted for those who give themselves to today.,Brendan Francis
Do not turn back when you are just at the goal.,Publilius Syrus
"Reviewing what you have learned and learning anew, you are fit to be a teacher.",Confucius
"Where all think alike, no one thinks very much.",Walter Lippmann
Action is the foundational key to all success.,Pablo Picasso
"If you can''t explain it simply, you don''t understand it well enough.",Albert Einstein
The truth which has made us free will in the end make us glad also.,Felix Adler
"Sooner or later, those who win are those who think they can.",Richard Bach
He who lives in harmony with himself lives in harmony with the world.,Marcus Aurelius
Begin at once to live and count each separate day as a separate life.,Seneca
He who knows himself is enlightened.,Lao Tzu
Growth itself contains the germ of happiness.,Pearl Buck
Kind words do not cost much. Yet they accomplish much.,Blaise Pascal
Think as a wise man but communicate in the language of the people.,William Yeats
He who lives in harmony with himself lives in harmony with the universe.,Marcus Aurelius
Kind words will unlock an iron door.,Turkish proverb
Build a better mousetrap and the world will beat a path to your door.,Ralph Emerson
"As our case is new, we must think and act anew.",Abraham Lincoln
Fear is a darkroom where negatives develop.,Usman Asif
Every action of our lives touches on some chord that will vibrate in eternity.,Edwin Chapin
"If you can''t feed a hundred people, then feed just one.",Mother Teresa
When anger use your energy to do something productive.,C. Pulsifer
In three words I can sum up everything Ive learned about life: it goes on.,Robert Frost
From error to error one discovers the entire truth.,Sigmund Freud
The day you decide to do it is your lucky day.,Japanese proverb
Happiness is not something ready made. It comes from your own actions.,Dalai Lama
Silence is a true friend who never betrays.,Confucius
"As our case is new, we must think and act anew.",Abraham Lincoln
Great talent finds happiness in execution.,Johann Wolfgang von Goethe
Keep yourself to the sunshine and you cannot see the shadow.,Helen Keller
Who sows virtue reaps honour.,Leonardo da Vinci
"If you don''t know where you are going, you will probably end up somewhere else.",Lawrence Peter
Goals are the fuel in the furnace of achievement.,Brian Tracy
To be wronged is nothing unless you continue to remember it.,Confucius
You always succeed in producing a result.,Tony Robbins
Everything you are against weakens you. Everything you are for empowers you.,Wayne Dyer
"As we risk ourselves, we grow. Each new experience is a risk.",Fran Watson
What we achieve inwardly will change outer reality.,Plutarch
Who we are never changes. Who we think we are does.,Mary Almanac
"If you correct your mind, the rest of your life will fall into place.",Lao Tzu
Feeling and longing are the motive forces behind all human endeavor and human creations.,Albert Einstein
The final proof of greatness lies in being able to endure criticism without resentment.,Elbert Hubbard
"If you do not change direction, you may end up where you are heading.",Lao Tzu
A man sees in the world what he carries in his heart.,Goethe
"An invasion of armies can be resisted, but not an idea whose time has come.",Victor Hugo
Excellence is not a skill. It is an attitude.,Ralph Marston
"People may doubt what you say, but they will believe what you do.",Lewis Cass
The most formidable weapon against errors of every kind is reason.,Thomas Paine
"If there is no struggle, there is no progress.",Frederick Douglass
"It''s important to know that words don''t move mountains. Work, exacting work moves mountains.",Danilo Dolci
No one can make you feel inferior without your consent.,Eleanor Roosevelt
"When you come to the end of your rope, tie a knot and hang on.",Franklin Roosevelt
"Sooner or later, those who win are those who think they can.",Richard Bach
Beware of missing chances; otherwise it may be altogether too late some day.,Franz Liszt
You only lose what you cling to.,Buddha
Life is a succession of moments. To live each one is to succeed.,Corita Kent
Most of the shadows of life are caused by standing in our own sunshine.,Ralph Waldo Emerson
Good actions give strength to ourselves and inspire good actions in others.,Plato
I know but one freedom and that is the freedom of the mind.,Antoine de Saint-Exupery
Freedom is not worth having if it does not connote freedom to err.,Mohandas Gandhi
In the middle of every difficulty lies opportunity.,Albert Einstein
Trust yourself. You know more than you think you do.,Benjamin Spock
"If one does not know to which port is sailing, no wind is favorable.",Seneca
"Wherever you go, go with all your heart.",Confucius
Every human being is the author of his own health or disease.,Buddha
"When in doubt, tell the truth.",Mark Twain
Strength does not come from physical capacity. It comes from an indomitable will.,Mahatma Gandhi
To be wronged is nothing unless you continue to remember it.,Confucius
"Good timber does not grow with ease; the stronger the wind, the stronger the trees.",J. Willard Marriott
Every great advance in science has issued from a new audacity of the imagination.,John Dewey
"The path to success is to take massive, determined action.",Anthony Robbins
The ladder of success is never crowded at the top.,Napoleon Hill
Formula for success: under promise and over deliver.,Tom Peters
What you fear is that which requires action to overcome.,Byron Pulsifer
Worry often gives a small thing a big shadow.,Swedish proverb
All great achievements require time.,Maya Angelou
The heart has eyes which the brain knows nothing of.,Charles Perkhurst
"No person is your friend who demands your silence, or denies your right to grow.",Alice Walker
A really great talent finds its happiness in execution.,Johann Wolfgang von Goethe
Impossibilities are merely things which we have not yet learned.,Charles Chesnutt
Vision without action is a daydream. Action without vision is a nightmare.,Japanese proverb
"Love all, trust a few, do wrong to none.",William Shakespeare
"Without faith, nothing is possible. With it, nothing is impossible.",Mary Bethune
Your outlook on life is a direct reflection on how much you like yourself.,Lululemon
To be wrong is nothing unless you continue to remember it.,Confucius
Happiness is not something ready made. It comes from your own actions.,Dalai Lama
Life is like riding a bicycle. To keep your balance you must keep moving.,Albert Einstein
"The Superior Man is aware of Righteousness, the inferior man is aware of advantage.",Confucius
A rolling stone gathers no moss.,Publilius Syrus
Trust yourself. You know more than you think you do.,Benjamin Spock
He who angers you conquers you.,Elizabeth Kenny
"I never worry about action, but only inaction.",Winston Churchill
The world makes way for the man who knows where he is going.,Ralph Emerson
Ideals are an imaginative understanding of that which is desirable in that which is possible.,Walter Lippmann
No man is free who is not master of himself.,Epictetus
He who conquers others is strong; He who conquers himself is mighty.,Lao Tzu
It is only when the mind and character slumber that the dress can be seen.,Ralph Waldo Emerson
The truest wisdom is a resolute determination.,Napoleon Bonaparte
"Those that know, do. Those that understand, teach.",Aristotle
"If we are not fully ourselves, truly in the present moment, we miss everything.",Thich Nhat Hanh
A thing long expected takes the form of the unexpected when at last it comes.,Mark Twain
"Do good by stealth, and blush to find it fame.",Alexander Pope
An ant on the move does more than a dozing ox,Lao Tzu
"No act of kindness, no matter how small, is ever wasted.",Aesop
Every man is a volume if you know how to read him.,Channing
We choose our destiny in the way we treat others.,Wit
"In separateness lies the world''s great misery, in compassion lies the world''s true strength.",Buddha
Everything that irritates us about others can lead us to an understanding about ourselves.,Carl Jung
Better be ignorant of a matter than half know it.,Publilius Syrus
"You can''t stop the waves, but you can learn to surf.",Jon Kabat-Zinn
Quality means doing it right when no one is looking.,Henry Ford
The cautious seldom err.,Confucius
Worry often gives a small thing a big shadow.,Swedish proverb
Never let lack of money interfere with having fun.,Unknown
The pessimist sees difficulty in every opportunity. The optimist sees the opportunity in every difficulty.,Winston Churchill
"The superior man is modest in his speech, but exceeds in his actions.",Confucius
All is flux; nothing stays still.,Heraclitus
I know but one freedom and that is the freedom of the mind.,Antoine de Saint-Exupery
A short saying often contains much wisdom.,Sophocles
Great acts are made up of small deeds.,Lao Tzu
The foot feels the foot when it feels the ground.,Buddha
The odds of hitting your target go up dramatically when you aim at it.,Mal Pancoast
It is in your moments of decision that your destiny is shaped.,Tony Robbins
The superior man is satisfied and composed; the mean man is always full of distress.,Confucius
They can do all because they think they can.,Virgil
Life is the flower for which love is the honey.,Victor Hugo
The secret of success is constancy to purpose.,Benjamin Disraeli
Courage is going from failure to failure without losing enthusiasm.,Winston Churchill
The secret of success is constancy to purpose.,Benjamin Disraeli
"You have to think anyway, so why not think big?",Donald Trump
"The world is a book, and those who do not travel read only a page.",Augustinus Sanctus
"On every thorn, delightful wisdom grows, In every rill a sweet instruction flows.",Edward Young
"Smile, breathe and go slowly.",Thich Nhat Hanh
"If one does not know to which port is sailing, no wind is favorable.",Seneca
It is better to understand a little than to misunderstand a lot.,Anatole France
"Once you choose hope, anythings possible.",Christopher Reeve
"Until you make peace with who you are, you''ll never be content with what you have.",Doris Mortman
"To enjoy life, we must touch much of it lightly.",Voltaire
It is only when the mind and character slumber that the dress can be seen.,Ralph Waldo Emerson
Nothing strengthens authority so much as silence.,Leonardo da Vinci
Most folks are about as happy as they make up their minds to be.,Abraham Lincoln
"The foolish man seeks happiness in the distance, the wise grows it under his feet.",James Oppenheim
Your body is precious. It is our vehicle for awakening. Treat it with care.,Buddha
Nothing is so strong as gentleness. Nothing is so gentle as real strength.,Frances de Sales
"Practice yourself, for heavens sake in little things, and then proceed to greater.",Epictetus
Nobody will believe in you unless you believe in yourself.,Liberace
"The one who always loses, is the only person who gets the reward.",Claire Charmont
Better be ignorant of a matter than half know it.,Publilius Syrus
Character develops itself in the stream of life.,Johann Wolfgang von Goethe
Self-complacency is fatal to progress.,Margaret Sangster
Our intention creates our reality.,Wayne Dyer
"You have enemies? Good. That means you''ve stood up for something, sometime in your life.",Winston Churchill
From wonder into wonder existence opens.,Lao Tzu
"Happiness is found in doing, not merely possessing.",Napoleon Hill
"They say that time changes things, but you actually have to change them yourself.",Andy Warhol
"The future is completely open, and we are writing it moment to moment.",Pema Chodron
"Smile, breathe, and go slowly.",Thich Nhat Hanh
I cannot make my days longer so I strive to make them better.,Henry David Thoreau
No is easier to do. Yes is easier to say.,Jason Fried
Nothing happens unless first we dream.,Carl Sandburg
I believe that we are fundamentally the same and have the same basic potential.,Dalai Lama
"Successful people ask better questions, and as a result, they get better answers.",Tony Robbins
Happiness comes when your work and words are of benefit to yourself and others.,Buddha
"There is no way to prosperity, prosperity is the way.",Wayne Dyer
I know but one freedom and that is the freedom of the mind.,Antoine de Saint-Exupery
"Ask yourself the secret of your success. Listen to your answer, and practice it.",Richard Bach
"Better to have loved and lost, than to have never loved at all.",St. Augustine
From error to error one discovers the entire truth.,Sigmund Freud
No man can succeed in a line of endeavor which he does not like.,Napoleon Hill
Don't frown because you never know who is falling in love with your smile.,Sinvyest Tan
Experience is simply the name we give our mistakes.,Oscar Wilde
Better be ignorant of a matter than half know it.,Publilius Syrus
Trust your hunches. They're usually based on facts filed away just below the conscious level.,Joyce Brothers
The place to improve the world is first in one's own heart and head and hands.,Robert M. Pirsig
Nothing is at last sacred but the integrity of your own mind.,Ralph Emerson
Listen to your intuition. It will tell you everything you need to know.,Anthony D'Angelo
"To bring anything into your life, imagine that it''s already there.",Richard Bach
Light tomorrow with today!,Elizabeth Browning
The personal life deeply lived always expands into truths beyond itself.,Anais Nin
Everything is perfect in the universe � even your desire to improve it.,Wayne Dyer
The undertaking of a new action brings new strength.,Richard Evans
Happiness depends upon ourselves.,Aristotle
"Whenever something negative happens to you, there is a deep lesson concealed within it.",Eckhart Tolle
The most complicated achievements of thought are possible without the assistance of consciousness.,Sigmund Freud
Being angry never solves anything.,Catherine Pulsifer
Fortune favours the brave.,Virgil
What is not started today is never finished tomorrow.,Goethe
I think somehow we learn who we really are and then live with that decision.,Eleanor Roosevelt
Light tomorrow with today!,Elizabeth Browning
"You can''t stop the waves, but you can learn to surf.",Jon Kabat-Zinn
Nothing ever goes away until it has taught us what we need to know.,Pema Chodron
Fate is in your hands and no one elses,Byron Pulsifer
The ladder of success is never crowded at the top.,Napoleon Hill
Our kindness may be the most persuasive argument for that which we believe.,Gordon Hinckley
Chaos is inherent in all compounded things. Strive on with diligence.,Buddha
"Be sure you put your feet in the right place, then stand firm.",Abraham Lincoln
Everything that irritates us about others can lead us to an understanding of ourselves.,Carl Jung
"By believing passionately in something that does not yet exist, we create it.",Nikos Kazantzakis
"They must often change, who would be constant in happiness or wisdom.",Confucius
The heart has eyes which the brain knows nothing of.,Charles Perkhurst
The weak can never forgive. Forgiveness is the attribute of the strong.,Mohandas Gandhi
Nothing great was ever achieved without enthusiasm.,Ralph Emerson
God always takes the simplest way.,Albert Einstein
Real magic in relationships means an absence of judgement of others.,Wayne Dyer
All serious daring starts from within.,Harriet Beecher Stowe
They can do all because they think they can.,Virgil
Act as if what you do makes a difference. It does.,William James
The journey of a thousand miles begins with one step.,Lao Tzu
"The meaning I picked, the one that changed my life: Overcome fear, behold wonder.",Richard Bach
"Know how to listen, and you will profit even from those who talk badly.",Plutarch
It is never too late to be what you might have been.,George Eliot
He who obtains has little. He who scatters has much.,Richard Braunstein
A man is not old as long as he is seeking something.,Edmond Rostand
Ideas are the beginning points of all fortunes.,Napoleon Hill
"The time you think you''re missing, misses you too.",Ymber Delecto
No man was ever wise by chance.,Seneca
You won't skid if you stay in a rut.,Kin Hubbard
We don't stop playing because we grow old; we grow old because we stop playing.,Bernard Shaw
Give thanks for the rain of life that propels us to reach new horizons.,Byron Pulsifer
Patience is the companion of wisdom.,Saint Augustine
"The foolish man seeks happiness in the distance, the wise grows it under his feet.",James Oppenheim
Our kindness may be the most persuasive argument for that which we believe.,Gordon Hinckley
"Life is not measured by the breaths you take, but by its breathtaking moments.",Michael Vance
Much wisdom often goes with fewer words.,Sophocles
"If you love life, don''t waste time, for time is what life is made up of.",Bruce Lee
He who talks more is sooner exhausted.,Lao Tzu
The greatest way to live with honour in this world is to be what we pretend to be.,Socrates
Imagination is the living power and prime agent of all human perception.,Samuel Taylor Coleridge
"I''m not afraid of storms, for Im learning how to sail my ship.",Louisa Alcott
The greatest minds are capable of the greatest vices as well as of the greatest virtues.,Rene Descartes
Victory belongs to the most persevering.,Napoleon Bonaparte
All that we are is the result of what we have thought. The mind is everything. What we think we become.,Buddha
When your desires are strong enough you will appear to possess superhuman powers to achieve.,Napoleon Hill
What lies behind us and what lies before us are small matters compared to what lies within us.,Oliver Holmes
Be slow of tongue and quick of eye.,Cervantes
It is impossible to feel grateful and depressed in the same moment.,Naomi Williams
"The path to success is to take massive, determined action.",Anthony Robbins
What lies behind us and what lies before us are tiny matters compared to what lies within us.,Walt Emerson
Progress always involves risks. You can't steal second base and keep your foot on first.,Frederick Wilcox
Peace comes from within. Do not seek it without.,Buddha
Bad things are not the worst things that can happen to us. Nothing is the worst thing that can happen to us!,Richard Bach
"Liberty, taking the word in its concrete sense, consists in the ability to choose.",Simone Weil
Blaze with the fire that is never extinguished.,Luisa Sigea
There are no failures � just experiences and your reactions to them.,Tom Krause
"He that never changes his opinions, never corrects his mistakes, and will never be wiser on the morrow than he is today.",Tryon Edwards
"On every thorn, delightful wisdom grows, In every rill a sweet instruction flows.",Edward Young
"If you would take, you must first give, this is the beginning of intelligence.",Lao Tzu
A thing well said will be wit in all languages.,John Dryden
Write your plans in pencil and give God the eraser.,Paulo Coelho
No is easier to do. Yes is easier to say.,Jason Fried
"Always do your best. What you plant now, you will harvest later.",Og Mandino
My mama always said: life's like a box of chocolate � you never know what you gonna get.,Forrest Gump
"We are the leaves of one branch, the drops of one sea, the flowers of one garden.",Jean Lacordaire
"If you light a lamp for somebody, it will also brighten your path.",Buddha
Strength does not come from physical capacity. It comes from an indomitable will.,Mahatma Gandhi
Life is 10% what happens to you and 90% how you react to it.,Charles Swindoll
Error is discipline through which we advance.,Channing
How wonderful that we have met with a paradox. Now we have some hope of making progress.,Niels Bohr
Be slow of tongue and quick of eye.,Cervantes
He who conquers others is strong; He who conquers himself is mighty.,Lao Tzu
The best way to pay for a lovely moment is to enjoy it.,Richard Bach
"It is not only for what we do that we are held responsible, but also for what we do not do.",Moliere
The only way to tell the truth is to speak with kindness. Only the words of a loving man can be heard.,Henry Thoreau
The greatest minds are capable of the greatest vices as well as of the greatest virtues.,Rene Descartes
Someone is special only if you tell them.,Byron Pulsifer
It's so simple to be wise. Just think of something stupid to say and then don't say it.,Sam Levenson
"A man is great by deeds, not by birth.",Chanakya
No garden is without its weeds.,Thomas Fuller
The world has the habit of making room for the man whose actions show that he knows where he is going.,Napoleon Hill
Quality is never an accident; it is always the result of intelligent effort.,John Ruskin
"You cannot step twice into the same river, for other waters are continually flowing in.",Heraclitus
We should all be thankful for those people who rekindle the inner spirit.,Albert Schweitzer
The only difference between your abilities and others is the ability to put yourself in their shoes and actually try.,Leonardo Ruiz
All great achievements require time.,Maya Angelou
Never idealize others. They will never live up to your expectations.,Leo Buscaglia
Excellence is to do a common thing in an uncommon way.,Booker Washington
"Edison failed 10,000 times before he made the electric light. Do not be discouraged if you fail a few times.",Napoleon Hill
"No matter how hard the past, you can always begin again.",Buddha
I begin with an idea and then it becomes something else.,Pablo Picasso
May our hearts garden of awakening bloom with hundreds of flowers.,Thich Nhat Hanh
Friends are those rare people who ask how we are and then wait to hear the answer.,Ed Cunningham
It is the mark of an educated mind to be able to entertain a thought without accepting it.,Aristotle
"Every adversity, every failure, every heartache carries with it the seed of an equal or greater benefit.",Napoleon Hill
"Whoever is happy will make others happy, too.",Mark Twain
"The purpose of learning is growth, and our minds, unlike our bodies, can continue growing as we continue to live.",Mortimer Adler
He that respects himself is safe from others; he wears a coat of mail that none can pierce.,Henry Longfellow
The bird of paradise alights only upon the hand that does not grasp.,John Berry
Difficulties increase the nearer we get to the goal.,Johann Wolfgang von Goethe
Act as if what you do makes a difference. It does.,William James
"To accomplish great things, we must dream as well as act.",Anatole France
"You can adopt the attitude there is nothing you can do, or you can see the challenge as your call to action.",Catherine Pulsifer
Your work is to discover your work and then with all your heart to give yourself to it.,Buddha
"There are only two mistakes one can make along the road to truth; not going all the way, and not starting.",Buddha
"It''s not what happens to you, but how you react to it that matters.",Epictetus
It is very easy to forgive others their mistakes; it takes more grit to forgive them for having witnessed your own.,Jessamyn West
Take it easy � but take it.,Woody Guthrie
Don't wait for your feelings to change to take the action. Take the action and your feelings will change.,Barbara Baron
There is no duty we so underrate as the duty of being happy. By being happy we sow anonymous benefits upon the world.,Robert Louis Stevenson
"Whoever is happy will make others happy, too.",Mark Twain
"Never apologize for showing feeling. When you do so, you apologize for truth.",Benjamin Disraeli
"Where all think alike, no one thinks very much.",Walter Lippmann
What is new in the world? Nothing. What is old in the world? Nothing. Everything has always been and will always be.,Sai Baba
"Face your deficiencies and acknowledge them; but do not let them master you. Let them teach you patience, sweetness, insight.",Helen Keller
I have done my best: that is about all the philosophy of living one needs.,Lin-yutang
"To accomplish great things, we must dream as well as act.",Anatole France
The beginning is always today.,Mary Wollstonecraft
Keep true to the dreams of thy youth.,Friedrich von Schiller
"Just as a candle cannot burn without fire, men cannot live without a spiritual life.",Buddha
The winds and waves are always on the side of the ablest navigators.,Edward Gibbon
Take rest; a field that has rested gives a bountiful crop.,Ovid
Truth isn't all about what actually happens but more about how what has happened is interpreted.,Byron Pulsifer
"Age does not protect you from love. But love, to some extent, protects you from age.",Anais Nin
"Men are disturbed not by things, but by the view which they take of them.",Epictetus
"Let us revere, let us worship, but erect and open-eyed, the highest, not the lowest; the future, not the past!",Charlotte Gilman
Every man takes the limits of his own field of vision for the limits of the world.,Arthur Schopenhauer
Doing what you love is the cornerstone of having abundance in your life.,Wayne Dyer
May our hearts garden of awakening bloom with hundreds of flowers.,Thich Nhat Hanh
Do what you can. Want what you have. Be who you are.,Forrest Church
There are people who have money and people who are rich.,Coco Chanel
He that respects himself is safe from others; he wears a coat of mail that none can pierce.,Henry Longfellow
"The greatest good you can do for another is not just share your riches, but reveal to them their own.",Benjamin Disraeli
Speak when you are angry and you will make the best speech you will ever regret.,Ambrose Bierce
"To accomplish great things, we must dream as well as act.",Anatole France
"Things do not change, we change.",Henry Thoreau
The exercise of an extraordinary gift is the supremest pleasure in life.,Mark Twain
Sometimes the most important thing in a whole day is the rest we take between two deep breaths.,Etty Hillesum
The first requisite for success is the ability to apply your physical and mental energies to one problem incessantly without growing weary.,Thomas Edison
To be wronged is nothing unless you continue to remember it.,Confucius
We should all be thankful for those people who rekindle the inner spirit.,Albert Schweitzer
There is no greater harm than that of time wasted.,Michelangelo
Forgiveness is choosing to love. It is the first skill of self-giving love.,Mohandas Gandhi
"To accomplish great things, we must dream as well as act.",Anatole France
"It is only with the heart that one can see rightly, what is essential is invisible to the eye.",Antoine de Saint-Exupery
"To ensure good health: eat lightly, breathe deeply, live moderately, cultivate cheerfulness, and maintain an interest in life.",William Londen
Believe deep down in your heart that you're destined to do great things.,Joe Paterno
Nothing is so strong as gentleness. Nothing is so gentle as real strength.,Frances de Sales
"If you cannot do great things, do small things in a great way.",Napoleon Hill
Experience is simply the name we give our mistakes.,Oscar Wilde
Think how hard physics would be if particles could think.,Murray Gell-Mann
Man is equally incapable of seeing the nothingness from which he emerges and the infinity in which he is engulfed.,Blaise Pascal
Imagination is the highest kite one can fly.,Lauren Bacall
The best way out is always through.,Robert Frost
Nature gave us one tongue and two ears so we could hear twice as much as we speak.,Epictetus
"Nothing is softer or more flexible than water, yet nothing can resist it.",Lao Tzu
The only limit to our realization of tomorrow will be our doubts of today.,Franklin Roosevelt
It is difficult to achieve a spirit of genuine cooperation as long as people remain indifferent to the feelings and happiness of others.,Dalai Lama
The exercise of an extraordinary gift is the supremest pleasure in life.,Mark Twain
"To exist is to change, to change is to mature, to mature is to go on creating oneself endlessly.",Henri Bergson
"Experience keeps a dear school, but fools will learn in no other.",Benjamin Franklin
The heart has eyes which the brain knows nothing of.,Charles Perkhurst
We can only be said to be alive in those moments when our hearts are conscious of our treasures.,Thornton Wilder
Fine words and an insinuating appearance are seldom associated with true virtue,Confucius
A subtle thought that is in error may yet give rise to fruitful inquiry that can establish truths of great value.,Isaac Asimov
"Thousands of candles can be lit from a single, and the life of the candle will not be shortened. Happiness never decreases by being shared.",Buddha
"If you''re walking down the right path and you''re willing to keep walking, eventually you''ll make progress.",Barack Obama
It is more important to know where you are going than to get there quickly. Do not mistake activity for achievement.,Mabel Newcomber
God always takes the simplest way.,Albert Einstein
"Every artist dips his brush in his own soul, and paints his own nature into his pictures.",Henry Ward Beecher
"Those that know, do. Those that understand, teach.",Aristotle
"The conditions of conquest are always easy. We have but to toil awhile, endure awhile, believe always, and never turn back.",Seneca
You can be what you want to be. You have the power within and we will help you always.,Byron Pulsifer
He who knows himself is enlightened.,Lao Tzu
The universe is transformation; our life is what our thoughts make it.,Marcus Aurelius
Our kindness may be the most persuasive argument for that which we believe.,Gordon Hinckley
"We do not quit playing because we grow old, we grow old because we quit playing.",Oliver Holmes
You can't choose up sides on a round world.,Wayne Dyer
The possession of knowledge does not kill the sense of wonder and mystery. There is always more mystery.,Anais Nin
"What you do not want done to yourself, do not do to others.",Confucius
"With realization of ones own potential and self-confidence in ones ability, one can build a better world.",Dalai Lama
Fortune favours the brave.,Virgil
"You can adopt the attitude there is nothing you can do, or you can see the challenge as your call to action.",Catherine Pulsifer
A man is not old as long as he is seeking something.,Edmond Rostand
"Smile, breathe and go slowly.",Thich Nhat Hanh
A man is not old as long as he is seeking something.,Edmond Rostand
Imagination is the living power and prime agent of all human perception.,Samuel Taylor Coleridge
"The smallest flower is a thought, a life answering to some feature of the Great Whole, of whom they have a persistent intuition.",Honore de Balzac
"My advice to you is not to inquire why or whither, but just enjoy your ice cream while its on your plate � that''s my philosophy.",Thornton Wilder
