quote,author
"Whoever renders service to many puts himself in line for great-- great wealth, great return, great satisfaction, great reputation, and great joy.-- Jim Rohn",unknown
"For those who have seen the Earth from space, and for the hundreds and perhaps thousands more who will, the experience most certainly changes your perspective. The things that we share in our world are far more valuable than those which divide us.-- Captain Donald Williams",unknown
The most important thing in communication is to hear what isn't being said.-- Peter F. Drucker,unknown
The aim of life is appreciation; there is no sense in not appreciating things; and there is no sense in having more of them if you have less appreciation of them.-- G. K. Chesterton,unknown
"I will speak ill of no man, and speak all the good I know of everybody.-- Benjamin Franklin",unknown
"Commitment, by its nature, frees us from ourselves and, while it stands us in opposition to some, it joins us with others similarly committed. Commitment moves us from the mirror trap of the self absorbed with the self to the freedom of a community of shared values.-- Michael Lewis",unknown
What you love is a sign from your higher self of what you are to do.-- Sanaya Roman,unknown
Anyone can hate. It costs to love.-- John Williamson,unknown
"Listen. Do not have an opinion while you listen because frankly, your opinion doesn''t hold much water outside of Your Universe. Just listen. Listen until their brain has been twisted like a dripping towel and what they have to say is all over the floor.-- Hugh Elliott",unknown
"I would maintain that thanks are the highest form of thought, and that gratitude is happiness doubled by wonder.-- G. K. Chesterton",unknown
A house is not a home unless it contains food and fire for the mind as well as the body.-- Benjamin Franklin,unknown
You always pass failure on the way to success.-- Mickey Rooney,unknown
"From every human being there rises a light that reaches straight to heaven. And when two souls that are destined to be together find each other, their streams of light flow together, and a single brighter light goes forth from their united being.-- Marianne Williamson",unknown
The way to love anything is to realize that it might be lost.-- G. K. Chesterton,unknown
"Friendship is unnecessary, like philosophy, like art...It has no survival value; rather is one of those things that give value to survival.-- C.S. Lewis",unknown
"Do what you can, with what you have, where you are.-- Theodore Roosevelt",unknown
Excellent day to have a rotten day.,unknown
Loyalty means nothing unless it has at its heart the absolute principle of self-sacrifice.-- Woodrow Wilson,unknown
"Remember not only to say the right thing in the right place, but far more difficult still, to leave unsaid the wrong thing at the tempting moment.-- Benjamin Franklin",unknown
"Friendship is born at that moment when one person says to another: What! You, too? I thought I was the only one.-- C.S. Lewis",unknown
"The mind has exactly the same power as the hands: not merely to grasp the world, but to change it.-- Eleanor Roosevelt",unknown
At the touch of love everyone becomes a poet.-- Colin Wilson,unknown
"To make the right choices in life, you have to get in touch with your soul. To do this, you need to experience solitude, which most people are afraid of, because in the silence you hear the truth and know the solutions.-- Deepak K. Chopra",unknown
I was always looking outside myself for strength and confidence but it comes from within. It is there all the time.-- Anna Freud,unknown
"Experience: that most brutal of teachers. But you learn, my God do you learn.-- C.S. Lewis",unknown
No one can make you feel inferior without your consent.-- Eleanor Roosevelt,unknown
"You''ll discover that real love is millions of miles past falling in love with anyone or anything. When you make that one effort to feel compassion instead of blame or self-blame, the heart opens again and continues opening.-- Sara Paddison",unknown
"If you have an important point to make, don''t try to be subtle or clever. Use a pile driver. Hit the point once. Then come back and hit it again. Then hit it a third -- a tremendous whack.-- Sir Winston Churchill",unknown
Being entirely honest with oneself is a good exercise.-- Sigmund Freud,unknown
"You only live -- but if you work it right, once is enough.-- Joe E. Lewis",unknown
To educate a man in mind and not in morals is to educate a menace to society.-- Theodore Roosevelt,unknown
"You are not here merely to make a living. You are here in order to enable the world to live more amply, with greater vision, with a finer spirit of hope and achievement. You are here to enrich the world, and you impoverish yourself if you forget the errand.-- Woodrow Wilson",unknown
"Perfect love is rare in-- for to be a lover will require that you continually have the subtlety of the very wise, the flexibility of the child, the sensitivity of the artist, the understanding of the philosopher, the acceptance of the saint, the tolerance of the scholar and the fortitude of the certain.-- Dr. Leo Buscaglia",unknown
The only guide to a man is his conscience.-- Sir Winston Churchill,unknown
Love and work are the cornerstones of our humanness.-- Sigmund Freud,unknown
"Life is too deep for words, so don''t try to describe it, just live it.-- C.S. Lewis",unknown
"Whenever you are asked if you can do a job, tell ''em, ''Certainly I can!'' Then get busy and find out how to do it.-- Theodore Roosevelt",unknown
"Be thankful for what you have; you''ll end up having more. If you concentrate on what you don''t have, you will never, ever have enough.-- Oprah Winfrey",unknown
